,updated_day,ticker,id,title_positive,title_negative,title_compound_sentiment,teaser_positive,teaser_negative,teaser_compound_sentiment,body_positive,body_negative,body_compound_sentiment,value,all_compound_sentiment
31,2014-12-17,KRG,5087176,26.8,0.0,51.06,15.6,0.0,64.4,7.7,3.5,81.56,7.89094250538,65.67333333333333
32,2014-12-17,TYL,5087446,13.9,0.0,27.32,7.9,0.0,38.18,13.9,0.0,98.03,-2.95932051855,54.51
33,2014-12-18,RLH,5092774,39.0,0.0,49.39,13.3,0.0,68.08,9.5,0.0,98.03,4.80132450331,71.83333333333333
34,2014-12-18,TM,5090609,21.9,0.0,10.27,6.0,0.0,31.82,11.1,0.0,98.88,1.29911030628,46.99
35,2015-01-06,MTW,5124967,23.1,0.0,20.23,8.3,0.0,20.23,18.6,0.0,99.72,3.53000504286,46.72666666666667
36,2015-01-06,STFC,5124735,20.5,28.2,-29.6,18.2,12.7,22.63,15.2,7.8,97.38,6.99300699301,30.136666666666667
37,2015-01-08,DKS,5132102,20.8,0.0,27.32,13.9,0.0,75.06,15.8,7.5,91.36,-2.4094135226,64.58
38,2015-01-12,EBAY,5138507,8.4,0.0,2.58,9.6,0.0,52.67,15.3,0.5,99.75,0.0181389443134,51.666666666666664
39,2015-01-20,CGIX,5159231,0.0,59.5,-65.97,0.0,26.8,-86.89,12.4,9.9,-1.48,11.4143920596,-51.446666666666665
40,2015-01-22,MNP,5171241,15.2,0.0,36.12,33.3,0.0,36.12,10.8,0.3,99.2,-1.85916803251,57.14666666666667
41,2015-01-27,AMG,5180724,28.6,0.0,49.39,26.3,0.0,88.5,19.9,0.4,99.53,6.53664705024,79.14
42,2015-01-28,GEO,5185726,0.0,15.2,-36.12,8.2,4.9,39.39,9.3,4.5,91.11,-0.927201185847,31.459999999999997
43,2015-01-29,NXST,5193521,43.9,0.0,57.19,14.1,0.0,81.05,16.8,0.0,99.54,10.2322575638,79.26
44,2015-02-02,LPTH,5199941,34.2,0.0,38.18,11.8,0.0,63.69,13.2,0.9,99.92,-17.8861788618,67.26333333333334
45,2015-02-03,MDXG,5204773,19.4,15.8,12.85,11.5,0.0,63.69,10.9,2.2,93.7,25.2121212121,56.74666666666667
46,2015-02-10,AN,5228459,34.8,0.0,49.39,17.6,0.0,79.64,16.2,0.0,99.5,-2.69212709344,76.17666666666666
47,2015-02-11,SR,5231255,28.6,0.0,49.39,12.2,0.0,49.39,17.3,0.8,99.64,-3.12207206609,66.14
48,2015-02-12,TYL,5236248,37.9,0.0,67.05,23.3,0.0,80.2,17.4,1.2,99.71,4.6181630547,82.32
49,2015-02-13,FEYE,5239923,34.1,19.7,36.12,31.0,13.7,84.26,17.7,13.8,82.4,-2.83987226277,67.59333333333335
50,2015-02-17,ADI,5245677,35.7,0.0,61.24,21.1,0.0,82.25,21.4,0.0,99.66,2.90015002257,81.05
51,2015-02-17,AMGN,5248118,10.4,0.0,27.32,4.1,0.0,27.32,14.1,2.2,98.43,6.90717678778,51.02333333333333
52,2015-02-18,NGL,5253172,46.9,0.0,64.86,23.6,0.0,75.06,14.2,2.1,95.09,-12.421952021,78.33666666666666
53,2015-02-20,DUK,5261387,34.8,0.0,29.6,29.7,0.0,94.93,19.9,2.0,99.96,-3.10370931113,74.83
54,2015-02-25,AAPL,5274866,34.4,20.1,29.6,13.6,0.0,72.69,9.9,7.1,80.37,-4.73488479086,60.88666666666666
55,2015-02-25,ICCC,5272753,31.0,0.0,55.74,18.1,0.0,80.74,12.0,0.0,98.01,0.868115942029,78.16333333333334
56,2015-03-10,CVX,5312939,30.2,0.0,38.18,19.8,0.0,85.55,17.9,1.5,99.71,3.29341317365,74.48
57,2015-05-11,CDTX,5496835,11.2,0.0,22.63,18.5,0.0,61.24,8.8,3.0,97.75,4.65425531915,60.54
58,2015-05-27,HALO,5543185,16.3,22.4,-29.6,6.6,0.0,49.39,18.5,3.5,99.59,16.9683257919,39.79333333333334
59,2015-06-02,MARA,5559982,16.7,0.0,49.39,6.6,0.0,49.39,8.5,2.4,77.17,-39.1862955032,58.65
60,2015-06-03,CPST,5564169,29.2,0.0,68.08,22.9,0.0,88.85,18.7,1.0,99.51,-25.120342307,85.48
61,2015-06-25,TERP,5623998,12.3,0.0,27.32,15.8,0.0,79.06,18.0,0.0,99.28,-19.9744572158,68.55333333333333
62,2015-08-24,GRUB,5785907,35.7,0.0,61.24,11.9,0.0,55.74,25.0,0.0,99.8,-7.31618978631,72.26
63,2015-09-25,EVRI,5864994,9.7,0.0,10.27,6.4,0.0,42.15,12.6,0.0,99.23,-13.5238095238,50.550000000000004
64,2015-09-28,SPDC,5868519,37.0,0.0,57.19,18.5,0.0,68.08,10.2,1.2,94.75,-13.1313131313,73.33999999999999
65,2015-09-28,TSLX,5868469,13.7,0.0,40.19,9.2,3.4,45.88,14.4,5.9,99.94,4.31565967941,62.00333333333333
66,2015-10-08,MANT,5897643,54.9,0.0,90.81,29.7,0.0,91.53,24.9,2.0,99.28,8.4820750844,93.87333333333333
67,2015-12-03,YECO,6018846,10.4,9.4,7.72,4.9,13.9,-61.99,6.6,7.7,-48.71,22.5660881919,-34.32666666666667
